Order ID,Order Date,Product Name,Sales,Profit,Category,Sub-Category
CA-2016-152156,11/8/2016,Bush Somerset Collection Bookcase,261.96,41.9136,Furniture,Bookcases
US-2015-108966,10/11/2015,Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031,Furniture,Tables
US-2015-108966,10/11/2015,Eldon Fold 'N Roll Cart System,22.368,2.5164,Office Supplies,Storage
CA-2014-115812,6/9/2014,Newell 322,7.28,1.9656,Office Supplies,Art
CA-2014-115812,6/9/2014,Mitel 5320 IP Phone VoIP phone,907.152,90.7152,Technology,Phones
CA-2014-115812,6/9/2014,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47,Office Supplies,Appliances
CA-2014-115812,6/9/2014,Chromcraft Rectangular Conference Tables,1706.184,85.3092,Furniture,Tables
CA-2014-115812,6/9/2014,Konftel 250 Conference phone - Charcoal black,911.424,68.3568,Technology,Phones
CA-2017-114412,4/15/2017,Xerox 1967,15.552,5.4432,Office Supplies,Paper
CA-2016-161389,12/5/2016,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922,Office Supplies,Binders
US-2015-118983,11/22/2015,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816,Office Supplies,Binders
CA-2014-167164,5/13/2014,Fellowes Super Stor/Drawer,55.5,9.99,Office Supplies,Storage
CA-2014-143336,8/27/2014,Newell 341,8.56,2.4824,Office Supplies,Art
CA-2014-143336,8/27/2014,Cisco SPA 501G IP Phone,213.48,16.011,Technology,Phones
CA-2016-137330,12/9/2016,Newell 318,19.46,5.0596,Office Supplies,Art
CA-2015-106320,9/25/2015,Bretford CR4500 Series Slim Rectangular Table,1044.63,240.2649,Furniture,Tables
CA-2016-121755,1/16/2016,Wilson Jones Active Use Binders,11.648,4.2224,Office Supplies,Binders
CA-2016-121755,1/16/2016,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,11.7741,Technology,Accessories
US-2015-150630,9/17/2015,Poly String Tie Envelopes,3.264,1.1016,Office Supplies,Envelopes
US-2015-150630,9/17/2015,Lumber Crayons,15.76,3.546,Office Supplies,Art
CA-2017-107727,10/19/2017,Easy-staple paper,29.472,9.9468,Office Supplies,Paper
CA-2016-117590,12/8/2016,GE 30524EE4,1097.544,123.4737,Technology,Phones
CA-2015-117415,12/27/2015,Plantronics HL10 Handset Lifter,371.168,41.7564,Technology,Phones
CA-2017-120999,9/10/2017,Panasonic Kx-TS550,147.168,16.5564,Technology,Phones
CA-2016-169194,6/20/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,4.95,Technology,Accessories
CA-2015-115742,4/18/2015,Avery 485,75.18,35.3346,Office Supplies,Labels
CA-2015-115742,4/18/2015,Longer-Life Soft White Bulbs,6.16,2.9568,Furniture,Furnishings
CA-2016-105816,12/11/2016,Advantus Push Pins,15.26,6.2566,Office Supplies,Fasteners
CA-2016-105816,12/11/2016,AT&T CL83451 4-Handset Telephone,1029.95,298.6855,Technology,Phones
CA-2016-111682,6/17/2016,Home/Office Personal File Carts,208.56,52.14,Office Supplies,Storage
CA-2016-111682,6/17/2016,Xerox 232,32.4,15.552,Office Supplies,Paper
CA-2016-111682,6/17/2016,Novimex Turbo Task Chair,319.41,7.098,Furniture,Chairs
CA-2016-111682,6/17/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,3.3,Technology,Accessories
CA-2016-111682,6/17/2016,Plastic Binding Combs,48.48,16.362,Office Supplies,Binders
CA-2016-111682,6/17/2016,Prang Dustless Chalk Sticks,1.68,0.84,Office Supplies,Art
CA-2015-135545,11/24/2015,Xerox 1943,146.73,68.9631,Office Supplies,Paper
CA-2015-135545,11/24/2015,Luxo Economy Swing Arm Lamp,79.76,22.3328,Furniture,Furnishings
CA-2014-106376,12/5/2014,netTALK DUO VoIP Telephone Service,167.968,62.988,Technology,Phones
US-2015-134026,4/26/2015,High-Back Leather Manager's Chair,831.936,-114.3912,Furniture,Chairs
US-2015-134026,4/26/2015,Safco Industrial Wire Shelving System,72.784,-18.196,Office Supplies,Storage
US-2017-118038,12/9/2017,Economy Binders,1.248,-1.9344,Office Supplies,Binders
CA-2016-127208,6/12/2016,1.7 Cubic Foot Compact Cube Office Refrigerators,208.16,56.2032,Office Supplies,Appliances
CA-2016-127208,6/12/2016,Avery Heavy-Duty EZD Binder With Locking Rings,16.74,8.0352,Office Supplies,Binders
